,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
10,Plant Technician I,$36K - $62K (Glassdoor est.),"Purpose

Avangrid Renewables is seeking to fill a Wind Plant Tech I or Wind Plant Tech II opening. (The company will determine Tech level based on experience and education) This position is responsible for the onsite operations, maintenance, repairs and replacement of equipment on a wind powered generation plant, and leads in all areas of plant operations as directed by the Plant Manager.
Responsibilities
Operate and maintain wind turbine and solar equipment along with associated infrastructure including substation, collection and transmission systems.
Additional Responsibilities",-1,AVANGRID,"Hertford, NC",5001 to 10000 Employees,2015,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$2 to $5 billion (USD)
11,Travelling Blade Repair Technician Level 2 or 3,Employer Provided Salary:$30 - $40 Per Hour,"The Composite Blade Technician level 3 will be responsible for the internal and external inspections, defect analysis, and Category 1-5 repair of fibreglass and composite blades, hub/nose cone, and nacelles from all categories with no supervision. The technicians will be required to document the findings and assemble all associated paperwork as required to be posted for further action. Level 3 technicians should be willing and able to train level 1-2 technicians on all repairs category 1-5 repairs. Level 3 technicians will also have added responsibilities such as blade document review and submission to the operations manager and engineering team. Extra responsibilities will include daily reporting of teams' time on site via DWR, daily work reports. This position requires 100% travel.
Education/Training
Certification from the respected world or domestic organizations in blade repairs or torquing/ tensioning turbine maintenance",-1,USS Wind - Blades,"Rankin, TX",-1,-1,-1,-1,-1,-1
12,Traveling Wind Resource Assessment Technician,Employer Provided Salary:$18 Per Hour,"Company
Harness Energy is a leading provider of meteorological measurement field services. We install and maintain equipment that wind and solar energy developers depend on for their feasibility studies and operations. Since the early 2000's, we have experienced first hand how the resource assessment segment of the renewable energy industry has matured and improved. Specializing in met tower, remote sensing, and solar station installations, we have established data collection sites throughout the US, including both Hawaii and Alaska, as well as internationally in places as varied as Haiti, Ethiopia, Belize and Bangladesh. Our years of experience and commitment to continual improvement ensure we offer our clients the most dependable tools available and utilize industry best practices. We understand quality data is the foundation of every successful renewable energy project and this data begins with accurately configured and documented meteorological equipment. We are a key element in the success of any renewable energy project and take pride in our work.",-1,Harness Energy,"Niwot, CO",-1,-1,-1,-1,-1,-1
13,"Wind Turbine Technician - Elk City, OK",$29K - $68K (Glassdoor est.),"ACCIONA is one of Spain's leading corporations, a front-runner in promoting and managing infrastructures, renewable energies, water and services, with 30,000 professionals worldwide, in 30 countries, and on 5 continents. The company is a global leader in renewable energy working exclusively with renewable technologies, specifically in wind, solar PV, solar thermal, hydro and biomass. Our Northern American Energy Division owns and operates renewable energy windfarms in the United States and Canada, and has recently added 3 gigawatts to our portfolio as we begin back to back Solar PV and storage projects. This is an exciting time to join Acciona and become one of the “pioneers in sustainability.”
Job Description
The Wind Turbine Technician will work with a team of well-trained professionals to maintain facilities surrounding wind turbines and maintain the turbines themselves. This includes basic cleaning and maintenance on the premises surrounding the wind turbines. This requires attention to safety regulations for the industry and is important for overall safety on the job.",3.9,"Acciona
3.9","Elk City, OK",10000+ Employees,1997,Company - Public,Construction,"Construction, Repair & Maintenance",$5 to $10 million (USD)
14,"Blade Technician - 1st Shift - Broussard, LA",-1,"Blade Technician - 1st Shift - Broussard, LA
296890

We are pioneers. We were the first to break the sound barrier and design the first functional jetpack. We were aboard NASA’s first lunar mission and brought advanced tiltrotor systems to market. Today, we are defining the future of on-demand mobility. At Bell, we are proud to be an iconic company with superb talent, rapidly creating novel and coveted vertical lift experiences.


Bell is currently looking for a Rotor Blade Technician for a facility in Broussard, Louisiana. This site is responsible for blade repair activities.",4.0,"Bell Textron Inc.
4.0","Broussard, LA",5001 to 10000 Employees,1935,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD)
15,Wind Turbine Technician,Employer Provided Salary:$22 - $25 Per Hour,"Perform commissioning tasks of wind turbines following OEM specifications
Adhere to quality and safety standards of OEM and company's guidelines
Perform warranty repairs, operations and maintenance of wind turbines (different make and models)
Evaluate multiple fault records to increase mean time between failures
Troubleshoot circuits and operate electrical control systems
Follow up and audit maintenance and troubleshooting activities to ensure work performed to satisfaction
Perform climbs of +280 feet to perform annual or semi-annual maintenance, troubleshoot, and repair failures, which may occur, and collect data
Conduct electronic troubleshooting using wire and block diagram schematics",4.3,"ersg
4.3","Milton-Freewater, OR",51 to 200 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
16,Wind Tunnel Model Technician 4,Employer Provided Salary:$69K - $115K,"Requisition ID: 21010603
Category: Technical Support
Location: Redondo Beach - CA, United States of America
Citizenship Required: United States Citizenship
Clearance Type: Secret
Telecommute: No- Teleworking not available for this position
Shift: 1st Shift (United States of America)
Travel Required: Yes, 25% of the Time",4.0,"Northrop Grumman
4.0","Redondo Beach, CA",10000+ Employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
17,Field Service Technician II (Wind Tech),Employer Provided Salary:$26 - $28 Per Hour,"2 – 5 years relevant experience in wind energy or a related industry
Experience with power plant operations and maintenance, wind plant operations and turbines (including turbine power converters specifically), high-voltage switching, and post-operational repair and maintenance of turbines preferred
Proficient knowledge of MS Office software, SQL server software, facility management and reporting systems, and computerized diagnostics and troubleshooting tools
Familiarity with maintenance and electronic testing equipment (e.g. voltage testers, amp clamps, oscilloscopes, megohmmeters, infrared testers, hydraulic torque equipment, alignment tools, various hand and power tools, and heavy equipment required for facility maintenance
Working knowledge of crane and rigging requirements
Must possess a valid driver’s license and be able to operate a motor vehicle",3.7,"The Global Edge Consultants
3.7","Arlington, OR",1 to 50 Employees,2008,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
18,Commissioning Tech - Wind/Solar (West Coast 100% Travel),Employer Provided Salary:$85K,"Equivalent Experience

Established Solar Tracking manufacturer/installation company is seeking a Traveling O+M Commissioning Technician to commission Solar Trackers on large scale ground mount solar sites throughout the WESTERN Most U.S.

This position is 100% travel for the WESTCOAST, candidate should be based out any of the WESTERN States in the US.
This is a salaried position ranging from $80-85K, depending on experience.
Holiday and vacation included
This is a Long-term contract position

Utility Scale O+M/Commissioning experience is required in either the WIND or SOLAR industry.


The goal of the O+M Commissioning Tech is to facilitate a positive experience with The Client. He/she will be commissioning the
products and Installation and insures that work is of the highest quality possible and develops customer loyalty by optimizing the product to the customer’s needs and providing great technical onsite support services on the Solar Tracking product.



All hotel, flights and per diem will be paid when traveling.
Will be issued a company vehicle when traveling

If interested, please Call Abraham
O+M, operations and maintenance, testing, commissioning, fluke, troubleshooting, technician, solar, utility solar plants, wind, electrical, field service technician, trackers, solar. wind turbine


We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions.

The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",-1,Aerotek,"Phoenix, AZ",5001 to 10000 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
19,Wind Turbine Quality Inspectors,Employer Provided Salary:$15 Per Hour,"JOB TITLE Wind Turbine QA/QC Quality Inspector PAY RATE Commensurate with Experience LOCATION 100% Travel JOB TYPE Contract, 6 Months Per Diem - $120 a Day ESSENTIAL DUTIES & RESPONSIBILITIES The Quality Construction Technician needs to ensure that the components received at the wind farm are according to our client’s specifications and that any Non Conformity is properly and clearly reported. Will need to ensure that the WTG is mechanically completed according to our client’s specifications and that any Non Conformity detected during the inspection is properly and clearly reported. Duties include: Performs Reception inspection of incoming material/components at the Wind Farm Performs Assembly/Post Assembly and MCC inspections at the Wind Farm Record inspection data by filling out necessary forms, logs, and files Report Quality Inspections results and Quality Issues to Upper Management Support Quality O&M and Logistics when needed Performs miscellaneous Quality duties as required Measure parts for conformance to specified dimensions against blueprints Initiate the Root Cause analysis by gathering all the data from the field and report findings as per our clients procedures KNOWLEDGE, SKILLS & EDUCATION Previous Wind QA/QC experience preferred Previous experience with Siemens, GE, Vestas , Nordex or Gamesa turbines Must ability to read and comprehend electrical and mechanical schematics, technical manuals, procedures and regulations. Must have knowledge of electrical principles and concepts.

Must be able to use hand and power tools. Ability to troubleshoot and diagnose electrical, mechanical, or hydraulic problems preferred. Electrical testing experience preferred.",5.0,"SystemOne
5.0","Houston, TX",1 to 50 Employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
